Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.1,0,2
3,1,3.0,2,0.2,0,3
100,1,83.0,55,5.5,17,83
200,1,167.0,97,9.7,33,167
2000,1,1757.0,654,65.4,243,1757
10000,1,8932.0,1036,103.6,1068,8932
20000,1,17890.0,1172,117.2,2110,17890
40000,1,35846.0,1296,129.6,4154,35846
60000,1,53826.0,1370,137.0,6174,53826
80000,1,71845.0,1404,140.4,8155,71845
10000,1,8932.0,1036,103.6,1068,8932
2,2,2.0,1,0.1,0,2
3,2,2.0,2,0.2,1,2
100,2,87.0,62,6.2,13,87
200,2,163.0,116,11.6,37,163
2000,2,1754.0,509,50.9,246,1754
10000,2,8939.0,1050,105.0,1061,8939
20000,2,17985.0,1194,119.4,2015,17985
40000,2,35942.0,1342,134.2,4058,35942
60000,2,53989.0,1407,140.7,6011,53989
80000,2,71954.0,1434,143.4,8046,71954
10000,2,8939.0,1050,105.0,1061,8939
2,3,2.0,1,0.1,0,2
3,3,3.0,2,0.2,0,3
100,3,83.0,61,6.1,17,83
200,3,168.0,119,11.9,32,168
2000,3,1706.0,738,73.8,294,1706
10000,3,8844.0,1066,106.6,1156,8844
20000,3,17874.0,1166,116.6,2126,17874
40000,3,35816.0,1246,124.6,4184,35816
60000,3,53880.0,1281,128.1,6120,53880
80000,3,71831.0,1337,133.7,8169,71831
10000,3,8844.0,1066,106.6,1156,8844
2,4,1.0,1,0.1,1,1
3,4,1.0,2,0.2,2,1
100,4,79.0,59,5.9,21,79
200,4,174.0,118,11.8,26,174
2000,4,1753.0,581,58.1,247,1753
10000,4,8902.0,1030,103.0,1098,8902
20000,4,17856.0,1234,123.4,2144,17856
40000,4,35897.0,1320,132.0,4103,35897
60000,4,53926.0,1375,137.5,6074,53926
80000,4,71900.0,1409,140.9,8100,71900
10000,4,8902.0,1030,103.0,1098,8902
2,5,2.0,1,0.1,0,2
3,5,3.0,2,0.2,0,3
100,5,80.0,61,6.1,20,80
200,5,158.0,111,11.1,42,158
2000,5,1738.0,515,51.5,262,1738
10000,5,8925.0,837,83.7,1075,8925
20000,5,17892.0,1068,106.8,2108,17892
40000,5,35868.0,1171,117.1,4132,35868
60000,5,53944.0,1202,120.2,6056,53944
80000,5,71988.0,1242,124.2,8012,71988
10000,5,8925.0,837,83.7,1075,8925
2,6,2.0,1,0.1,0,2
3,6,3.0,2,0.2,0,3
100,6,88.0,57,5.7,12,88
200,6,176.0,108,10.8,24,176
2000,6,1763.0,665,66.5,237,1763
10000,6,8876.0,1507,150.7,1124,8876
20000,6,17882.0,1658,165.8,2118,17882
40000,6,35872.0,1741,174.1,4128,35872
60000,6,53862.0,1818,181.8,6138,53862
80000,6,71815.0,1897,189.7,8185,71815
10000,6,8876.0,1507,150.7,1124,8876
2,7,2.0,1,0.1,0,2
3,7,2.0,2,0.2,1,2
100,7,81.0,64,6.4,19,81
200,7,164.0,125,12.5,36,164
2000,7,1708.0,661,66.1,292,1708
10000,7,8876.0,911,91.1,1124,8876
20000,7,17814.0,1046,104.6,2186,17814
40000,7,35828.0,1185,118.5,4172,35828
60000,7,53790.0,1323,132.3,6210,53790
80000,7,71713.0,1367,136.7,8287,71713
10000,7,8876.0,911,91.1,1124,8876
2,8,2.0,1,0.1,0,2
3,8,3.0,2,0.2,0,3
100,8,90.0,63,6.3,10,90
200,8,177.0,123,12.3,23,177
2000,8,1727.0,669,66.9,273,1727
10000,8,8893.0,1102,110.2,1107,8893
20000,8,17846.0,1394,139.4,2154,17846
40000,8,35858.0,1562,156.2,4142,35858
60000,8,53833.0,1611,161.1,6167,53833
80000,8,71863.0,1711,171.1,8137,71863
10000,8,8893.0,1102,110.2,1107,8893
2,9,2.0,1,0.1,0,2
3,9,2.0,2,0.2,1,2
100,9,83.0,61,6.1,17,83
200,9,168.0,116,11.6,32,168
2000,9,1759.0,673,67.3,241,1759
10000,9,8896.0,1072,107.2,1104,8896
20000,9,17903.0,1206,120.6,2097,17903
40000,9,35890.0,1324,132.4,4110,35890
60000,9,53869.0,1513,151.3,6131,53869
80000,9,71955.0,1533,153.3,8045,71955
10000,9,8896.0,1072,107.2,1104,8896
2,10,2.0,1,0.1,0,2
3,10,2.0,2,0.2,1,2
100,10,87.0,58,5.8,13,87
200,10,172.0,104,10.4,28,172
2000,10,1738.0,485,48.5,262,1738
10000,10,8856.0,900,90.0,1144,8856
20000,10,17872.0,1001,100.1,2128,17872
40000,10,35918.0,1070,107.0,4082,35918
60000,10,53899.0,1138,113.8,6101,53899
80000,10,71852.0,1220,122.0,8148,71852
10000,10,8856.0,900,90.0,1144,8856
2,11,2.0,1,0.1,0,2
3,11,3.0,2,0.2,0,3
100,11,87.0,64,6.4,13,87
200,11,165.0,129,12.9,35,165
2000,11,1750.0,592,59.2,250,1750
10000,11,8904.0,905,90.5,1096,8904
20000,11,17892.0,1063,106.3,2108,17892
40000,11,35809.0,1164,116.4,4191,35809
60000,11,53865.0,1182,118.2,6135,53865
80000,11,71864.0,1220,122.0,8136,71864
10000,11,8904.0,905,90.5,1096,8904
2,12,2.0,1,0.1,0,2
3,12,3.0,2,0.2,0,3
100,12,79.0,64,6.4,21,79
200,12,162.0,121,12.1,38,162
2000,12,1754.0,502,50.2,246,1754
10000,12,8898.0,990,99.0,1102,8898
20000,12,17861.0,1221,122.1,2139,17861
40000,12,35846.0,1370,137.0,4154,35846
60000,12,53836.0,1504,150.4,6164,53836
80000,12,71751.0,1558,155.8,8249,71751
10000,12,8898.0,990,99.0,1102,8898
2,13,2.0,1,0.1,0,2
3,13,3.0,2,0.2,0,3
100,13,84.0,66,6.6,16,84
200,13,170.0,112,11.2,30,170
2000,13,1760.0,646,64.6,240,1760
10000,13,8890.0,1174,117.4,1110,8890
20000,13,17841.0,1437,143.7,2159,17841
40000,13,35827.0,1546,154.6,4173,35827
60000,13,53771.0,1630,163.0,6229,53771
80000,13,71771.0,1667,166.7,8229,71771
10000,13,8890.0,1174,117.4,1110,8890
2,14,2.0,1,0.1,0,2
3,14,3.0,2,0.2,0,3
100,14,85.0,65,6.5,15,85
200,14,163.0,129,12.9,37,163
2000,14,1750.0,635,63.5,250,1750
10000,14,8875.0,1069,106.9,1125,8875
20000,14,17890.0,1170,117.0,2110,17890
40000,14,35845.0,1361,136.1,4155,35845
60000,14,53825.0,1459,145.9,6175,53825
80000,14,71875.0,1464,146.4,8125,71875
10000,14,8875.0,1069,106.9,1125,8875
2,15,2.0,1,0.1,0,2
3,15,3.0,2,0.2,0,3
100,15,82.0,60,6.0,18,82
200,15,172.0,115,11.5,28,172
2000,15,1761.0,572,57.2,239,1761
10000,15,8936.0,1020,102.0,1064,8936
20000,15,17902.0,1159,115.9,2098,17902
40000,15,35881.0,1274,127.4,4119,35881
60000,15,53870.0,1417,141.7,6130,53870
80000,15,71836.0,1465,146.5,8164,71836
10000,15,8936.0,1020,102.0,1064,8936
2,16,2.0,1,0.1,0,2
3,16,3.0,2,0.2,0,3
100,16,82.0,64,6.4,18,82
200,16,171.0,117,11.7,29,171
2000,16,1735.0,549,54.9,265,1735
10000,16,8897.0,918,91.8,1103,8897
20000,16,17902.0,1008,100.8,2098,17902
40000,16,35928.0,1069,106.9,4072,35928
60000,16,53843.0,1246,124.6,6157,53843
80000,16,71876.0,1347,134.7,8124,71876
10000,16,8897.0,918,91.8,1103,8897
2,17,1.0,1,0.1,1,1
3,17,2.0,2,0.2,1,2
100,17,79.0,61,6.1,21,79
200,17,164.0,122,12.2,36,164
2000,17,1748.0,517,51.7,252,1748
10000,17,8893.0,909,90.9,1107,8893
20000,17,17865.0,1006,100.6,2135,17865
40000,17,35817.0,1089,108.9,4183,35817
60000,17,53834.0,1153,115.3,6166,53834
80000,17,71819.0,1186,118.6,8181,71819
10000,17,8893.0,909,90.9,1107,8893
2,18,2.0,1,0.1,0,2
3,18,3.0,2,0.2,0,3
100,18,78.0,56,5.6,22,78
200,18,165.0,112,11.2,35,165
2000,18,1746.0,533,53.3,254,1746
10000,18,8900.0,884,88.4,1100,8900
20000,18,17843.0,967,96.7,2157,17843
40000,18,35837.0,1168,116.8,4163,35837
60000,18,53837.0,1227,122.7,6163,53837
80000,18,71855.0,1344,134.4,8145,71855
10000,18,8900.0,884,88.4,1100,8900
2,19,2.0,1,0.1,0,2
3,19,3.0,2,0.2,0,3
100,19,85.0,67,6.7,15,85
200,19,169.0,126,12.6,31,169
2000,19,1739.0,587,58.7,261,1739
10000,19,8869.0,958,95.8,1131,8869
20000,19,17837.0,1131,113.1,2163,17837
40000,19,35815.0,1255,125.5,4185,35815
60000,19,53734.0,1403,140.3,6266,53734
80000,19,71698.0,1555,155.5,8302,71698
10000,19,8869.0,958,95.8,1131,8869
2,20,2.0,1,0.1,0,2
3,20,3.0,2,0.2,0,3
100,20,87.0,64,6.4,13,87
200,20,167.0,119,11.9,33,167
2000,20,1745.0,612,61.2,255,1745
10000,20,8906.0,1074,107.4,1094,8906
20000,20,17870.0,1213,121.3,2130,17870
40000,20,35868.0,1467,146.7,4132,35868
60000,20,53834.0,1659,165.9,6166,53834
80000,20,71901.0,1699,169.9,8099,71901
10000,20,8906.0,1074,107.4,1094,8906
2,21,2.0,1,0.1,0,2
3,21,3.0,2,0.2,0,3
100,21,73.0,58,5.8,27,73
200,21,161.0,106,10.6,39,161
2000,21,1734.0,502,50.2,266,1734
10000,21,8911.0,892,89.2,1089,8911
20000,21,17832.0,1104,110.4,2168,17832
40000,21,35846.0,1271,127.1,4154,35846
60000,21,53882.0,1295,129.5,6118,53882
80000,21,71906.0,1360,136.0,8094,71906
10000,21,8911.0,892,89.2,1089,8911
2,22,1.0,1,0.1,1,1
3,22,2.0,2,0.2,1,2
100,22,84.0,60,6.0,16,84
200,22,175.0,122,12.2,25,175
2000,22,1743.0,688,68.8,257,1743
10000,22,8911.0,1100,110.0,1089,8911
20000,22,17863.0,1275,127.5,2137,17863
40000,22,35829.0,1329,132.9,4171,35829
60000,22,53799.0,1461,146.1,6201,53799
80000,22,71793.0,1496,149.6,8207,71793
10000,22,8911.0,1100,110.0,1089,8911
2,23,2.0,1,0.1,0,2
3,23,3.0,2,0.2,0,3
100,23,81.0,63,6.3,19,81
200,23,162.0,113,11.3,38,162
