Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.72,1.0,0.049999999999999906,0.28,1.72
3,2.54,2.0,0.08999999999999991,0.46,2.54
100,86.99,65.19,2.931300000000001,13.01,86.99
200,173.59,129.13,5.808600000000004,26.41,173.59
2000,1739.69,1086.27,48.8848,260.31,1739.69
10000,8791.59,3603.16,162.14069999999995,1208.41,8791.59
20000,17666.16,5250.07,236.25050000000002,2333.84,17666.16
40000,35482.54,7113.78,320.1191,4517.46,35482.54
60000,53340.46,8140.29,366.31429999999983,6659.54,53340.46
80000,71201.29,8878.74,399.5454000000001,8798.71,71201.29
