Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.79,1.0,0.010000000000000007,0.21,1.79
3,2.65,1.08,0.010000000000000007,0.35,2.65
100,89.39,49.98,0.25229999999999997,10.61,89.39
200,178.17,100.15,0.5034000000000003,21.83,178.17
2000,1783.88,966.19,4.828,216.12,1783.88
10000,8928.89,4522.62,22.612399999999994,1071.11,8928.89
20000,17864.03,8661.5,43.30929999999999,2135.97,17864.03
40000,35727.62,16348.0,81.73989999999998,4272.38,35727.62
60000,53586.79,23539.55,117.6953,6413.21,53586.79
80000,71453.9,30479.54,152.39509999999996,8546.1,71453.9
