Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.05,0,2
3,1,3.0,1,0.05,0,3
100,1,86.0,47,2.35,14,86
200,1,168.0,99,4.95,32,168
2000,1,1763.0,769,38.45,237,1763
10000,1,8891.0,2647,132.35,1109,8891
20000,1,17826.0,3877,193.85,2174,17826
40000,1,35786.0,5541,277.05,4214,35786
60000,1,53738.0,6452,322.6,6262,53738
80000,1,71689.0,6647,332.35,8311,71689
10000,1,8891.0,2647,132.35,1109,8891
2,2,2.0,1,0.05,0,2
3,2,3.0,1,0.05,0,3
100,2,86.0,45,2.25,14,86
200,2,175.0,105,5.25,25,175
2000,2,1767.0,754,37.7,233,1767
10000,2,8891.0,2278,113.9,1109,8891
20000,2,17833.0,2869,143.45,2167,17833
40000,2,35778.0,3542,177.1,4222,35778
60000,2,53852.0,3604,180.2,6148,53852
80000,2,71898.0,3938,196.9,8102,71898
10000,2,8891.0,2278,113.9,1109,8891
2,3,2.0,1,0.05,0,2
3,3,3.0,1,0.05,0,3
100,3,86.0,43,2.15,14,86
200,3,175.0,76,3.8,25,175
2000,3,1777.0,671,33.55,223,1777
10000,3,8890.0,1469,73.45,1110,8890
20000,3,17877.0,2013,100.65,2123,17877
40000,3,35773.0,2871,143.55,4227,35773
60000,3,53812.0,3100,155.0,6188,53812
80000,3,71875.0,3233,161.65,8125,71875
10000,3,8890.0,1469,73.45,1110,8890
2,4,2.0,1,0.05,0,2
3,4,3.0,1,0.05,0,3
100,4,93.0,46,2.3,7,93
200,4,175.0,84,4.2,25,175
2000,4,1784.0,587,29.35,216,1784
10000,4,8977.0,1448,72.4,1023,8977
20000,4,17950.0,2563,128.15,2050,17950
40000,4,35867.0,3846,192.3,4133,35867
60000,4,53743.0,4409,220.45,6257,53743
80000,4,71760.0,4623,231.15,8240,71760
10000,4,8977.0,1448,72.4,1023,8977
2,5,2.0,1,0.05,0,2
3,5,3.0,1,0.05,0,3
100,5,88.0,50,2.5,12,88
200,5,176.0,106,5.3,24,176
2000,5,1734.0,676,33.8,266,1734
10000,5,8886.0,1554,77.7,1114,8886
20000,5,17870.0,2023,101.15,2130,17870
