Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.79,1.0,0.04000000000000003,0.21,1.79
3,2.64,1.92,0.07680000000000005,0.36,2.64
100,87.48,48.08,1.9232000000000002,12.52,87.48
200,174.83,93.97,3.7588,25.17,174.83
2000,1749.45,778.35,31.133999999999993,250.55,1749.45
10000,8794.94,2682.47,107.29879999999997,1205.06,8794.94
20000,17637.19,4087.7,163.5079999999999,2362.81,17637.19
40000,35379.04,5802.35,232.09400000000008,4620.96,35379.04
60000,53132.14,6925.28,277.01120000000003,6867.86,53132.14
80000,70903.48,7745.97,309.8388,9096.52,70903.48
