Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.05,0,2
3,1,3.0,2,0.05,0,3
100,1,87.0,64,1.35,13,87
200,1,173.0,126,2.38,27,173
2000,1,1757.0,1124,20.39,243,1757
10000,1,8858.0,5414,69.21,1142,8858
20000,1,17779.0,11435,108.09,2221,17779
40000,1,35704.0,24186,151.24,4296,35704
60000,1,53505.0,34589,171.94,6495,53505
80000,1,71433.0,46291,189.04,8567,71433
10000,1,8858.0,5414,69.21,1142,8858
2,2,2.0,1,0.05,0,2
3,2,3.0,2,0.05,0,3
100,2,87.0,63,1.26,13,87
200,2,174.0,126,2.16,26,174
2000,2,1756.0,1288,23.76,244,1756
10000,2,8897.0,5823,72.72,1103,8897
20000,2,17820.0,11174,113.72,2180,17820
40000,2,35652.0,20855,171.54,4348,35652
60000,2,53544.0,31137,207.67,6456,53544
80000,2,71348.0,40969,223.2,8652,71348
10000,2,8897.0,5823,72.72,1103,8897
2,3,1.0,1,0.05,1,1
3,3,2.0,2,0.05,1,2
100,3,88.0,65,1.26,12,88
200,3,176.0,129,2.56,24,176
2000,3,1773.0,1279,20.88,227,1773
10000,3,8884.0,6289,78.39,1116,8884
20000,3,17813.0,11839,131.54,2187,17813
40000,3,35700.0,23323,184.72,4300,35700
60000,3,53525.0,33035,237.33,6475,53525
80000,3,71459.0,46541,256.45,8541,71459
10000,3,8884.0,6289,78.39,1116,8884
2,4,2.0,1,0.05,0,2
3,4,2.0,2,0.05,1,2
100,4,89.0,65,1.4,11,89
200,4,169.0,127,2.88,31,169
2000,4,1741.0,1309,24.57,259,1741
10000,4,8853.0,6025,89.01,1147,8853
20000,4,17768.0,11749,158.17,2232,17768
40000,4,35547.0,22681,232.6,4453,35547
60000,4,53413.0,32338,274.27,6587,53413
80000,4,71267.0,43969,323.19,8733,71267
10000,4,8853.0,6025,89.01,1147,8853
2,5,2.0,1,0.05,0,2
3,5,3.0,2,0.05,0,3
100,5,87.0,67,1.35,13,87
200,5,174.0,134,2.79,26,174
2000,5,1750.0,1295,22.28,250,1750
10000,5,8843.0,6522,85.95,1157,8843
20000,5,17783.0,13901,132.3,2217,17783
40000,5,35564.0,24820,198.4,4436,35564
60000,5,53449.0,35216,223.51,6551,53449
80000,5,71277.0,47627,251.55,8723,71277
10000,5,8843.0,6522,85.95,1157,8843
2,6,2.0,1,0.05,0,2
3,6,3.0,2,0.05,0,3
100,6,88.0,66,1.49,12,88
200,6,177.0,130,2.79,23,177
2000,6,1745.0,1172,21.06,255,1745
10000,6,8876.0,4906,62.19,1124,8876
20000,6,17741.0,10011,105.89,2259,17741
40000,6,35548.0,19627,174.24,4452,35548
60000,6,53483.0,29018,207.27,6517,53483
80000,6,71308.0,39919,228.51,8692,71308
10000,6,8876.0,4906,62.19,1124,8876
2,7,1.0,1,0.05,1,1
3,7,2.0,2,0.05,1,2
