Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.8,1.0,0.049999999999999906,0.2,1.8
3,2.71,2.0,0.049999999999999906,0.29,2.71
100,88.06,66.44,1.6375,11.94,88.06
200,176.11,132.56,3.229499999999999,23.89,176.11
2000,1770.49,1300.25,29.778000000000002,229.51,1770.49
10000,8869.98,6290.08,128.34550000000002,1130.02,8869.98
20000,17769.85,12341.99,232.43549999999996,2230.15,17769.85
40000,35595.06,23983.37,402.5564999999999,4404.94,35595.06
60000,53451.61,35434.29,544.3464999999999,6548.39,53451.61
80000,71332.48,46645.09,666.8865000000001,8667.52,71332.48
