Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.05,0,2
3,1,2.0,2,0.09,1,2
100,1,82.0,47,2.11,18,82
200,1,171.0,93,4.18,29,171
2000,1,1760.0,865,38.93,240,1760
10000,1,8768.0,3949,177.7,1232,8768
20000,1,17566.0,6997,314.86,2434,17566
40000,1,35193.0,12147,546.62,4807,35193
60000,1,52897.0,15974,718.83,7103,52897
80000,1,70597.0,19697,886.36,9403,70597
10000,1,8768.0,3949,177.7,1232,8768
2,2,2.0,1,0.05,0,2
3,2,3.0,2,0.09,0,3
100,2,90.0,50,2.25,10,90
200,2,179.0,100,4.5,21,179
2000,2,1749.0,918,41.31,251,1749
10000,2,8705.0,3944,177.48,1295,8705
20000,2,17440.0,7142,321.39,2560,17440
40000,2,35096.0,13169,592.6,4904,35096
60000,2,52820.0,17213,774.58,7180,52820
80000,2,70603.0,20841,937.84,9397,70603
10000,2,8705.0,3944,177.48,1295,8705
2,3,2.0,1,0.05,0,2
3,3,3.0,2,0.09,0,3
100,3,88.0,50,2.25,12,88
200,3,177.0,100,4.5,23,177
2000,3,1779.0,925,41.63,221,1779
10000,3,8770.0,4060,182.7,1230,8770
20000,3,17580.0,7201,324.04,2420,17580
40000,3,35304.0,12388,557.46,4696,35304
60000,3,53091.0,16530,743.85,6909,53091
80000,3,70865.0,19627,883.21,9135,70865
10000,3,8770.0,4060,182.7,1230,8770
2,4,2.0,1,0.05,0,2
3,4,3.0,2,0.09,0,3
100,4,89.0,48,2.16,11,89
200,4,174.0,96,4.32,26,174
2000,4,1754.0,915,41.18,246,1754
10000,4,8830.0,4168,187.56,1170,8830
20000,4,17654.0,7407,333.31,2346,17654
40000,4,35309.0,12433,559.49,4691,35309
60000,4,52954.0,16460,740.7,7046,52954
80000,4,70751.0,19400,873.0,9249,70751
10000,4,8830.0,4168,187.56,1170,8830
2,5,2.0,1,0.05,0,2
3,5,2.0,2,0.09,1,2
100,5,84.0,50,2.25,16,84
200,5,178.0,96,4.32,22,178
2000,5,1762.0,877,39.47,238,1762
10000,5,8757.0,3802,171.09,1243,8757
20000,5,17518.0,6902,310.59,2482,17518
40000,5,35126.0,12301,553.55,4874,35126
60000,5,52733.0,17062,767.79,7267,52733
80000,5,70483.0,20721,932.44,9517,70483
10000,5,8757.0,3802,171.09,1243,8757
2,6,2.0,1,0.05,0,2
3,6,3.0,2,0.09,0,3
100,6,85.0,51,2.29,15,85
200,6,168.0,96,4.32,32,168
2000,6,1744.0,881,39.65,256,1744
10000,6,8756.0,3873,174.28,1244,8756
20000,6,17547.0,7164,322.38,2453,17547
40000,6,35212.0,12488,561.96,4788,35212
60000,6,52844.0,16870,759.15,7156,52844
80000,6,70604.0,20525,923.62,9396,70604
10000,6,8756.0,3873,174.28,1244,8756
2,7,2.0,1,0.05,0,2
3,7,3.0,2,0.09,0,3
100,7,90.0,52,2.34,10,90
200,7,171.0,101,4.54,29,171
2000,7,1755.0,867,39.02,245,1755
10000,7,8760.0,4110,184.95,1240,8760
20000,7,17581.0,7247,326.11,2419,17581
40000,7,35375.0,12736,573.12,4625,35375
60000,7,53124.0,16964,763.38,6876,53124
80000,7,70885.0,20530,923.85,9115,70885
10000,7,8760.0,4110,184.95,1240,8760
2,8,1.0,1,0.05,1,1
3,8,2.0,2,0.09,1,2
100,8,83.0,53,2.38,17,83
200,8,173.0,103,4.63,27,173
2000,8,1752.0,870,39.15,248,1752
10000,8,8807.0,3807,171.31,1193,8807
20000,8,17639.0,6835,307.57,2361,17639
40000,8,35242.0,12869,579.1,4758,35242
60000,8,52962.0,16063,722.83,7038,52962
80000,8,70649.0,19704,886.68,9351,70649
10000,8,8807.0,3807,171.31,1193,8807
2,9,1.0,1,0.05,1,1
3,9,2.0,1,0.05,1,2
100,9,84.0,49,2.2,16,84
200,9,170.0,102,4.59,30,170
2000,9,1737.0,889,40.01,263,1737
10000,9,8780.0,3681,165.64,1220,8780
20000,9,17586.0,6713,302.08,2414,17586
40000,9,35222.0,11951,537.8,4778,35222
60000,9,52840.0,16674,750.33,7160,52840
80000,9,70576.0,20346,915.57,9424,70576
10000,9,8780.0,3681,165.64,1220,8780
2,10,2.0,1,0.05,0,2
3,10,2.0,2,0.09,1,2
100,10,90.0,47,2.11,10,90
200,10,177.0,94,4.23,23,177
2000,10,1752.0,892,40.14,248,1752
10000,10,8826.0,3903,175.63,1174,8826
20000,10,17645.0,7486,336.87,2355,17645
40000,10,35355.0,13093,589.18,4645,35355
60000,10,53090.0,17807,801.31,6910,53090
80000,10,70778.0,21818,981.81,9222,70778
10000,10,8826.0,3903,175.63,1174,8826
2,11,1.0,1,0.05,1,1
3,11,2.0,1,0.05,1,2
100,11,88.0,48,2.16,12,88
200,11,175.0,95,4.27,25,175
2000,11,1735.0,899,40.46,265,1735
10000,11,8754.0,3869,174.1,1246,8754
20000,11,17586.0,6923,311.53,2414,17586
40000,11,35221.0,12156,547.02,4779,35221
60000,11,52870.0,16285,732.82,7130,52870
80000,11,70640.0,19811,891.49,9360,70640
10000,11,8754.0,3869,174.1,1246,8754
2,12,2.0,1,0.05,0,2
3,12,3.0,2,0.09,0,3
100,12,87.0,48,2.16,13,87
200,12,178.0,96,4.32,22,178
2000,12,1735.0,933,41.99,265,1735
10000,12,8738.0,4108,184.86,1262,8738
20000,12,17536.0,7003,315.13,2464,17536
40000,12,35186.0,11937,537.17,4814,35186
60000,12,52960.0,15799,710.95,7040,52960
80000,12,70709.0,19008,855.36,9291,70709
10000,12,8738.0,4108,184.86,1262,8738
2,13,2.0,1,0.05,0,2
3,13,2.0,2,0.09,1,2
100,13,86.0,48,2.16,14,86
200,13,175.0,94,4.23,25,175
2000,13,1753.0,880,39.6,247,1753
10000,13,8764.0,3899,175.45,1236,8764
20000,13,17609.0,6947,312.61,2391,17609
40000,13,35268.0,12292,553.14,4732,35268
60000,13,52849.0,16374,736.83,7151,52849
80000,13,70584.0,19949,897.7,9416,70584
10000,13,8764.0,3899,175.45,1236,8764
2,14,1.0,1,0.05,1,1
3,14,2.0,2,0.09,1,2
100,14,87.0,49,2.2,13,87
200,14,172.0,98,4.41,28,172
2000,14,1750.0,960,43.2,250,1750
10000,14,8801.0,4015,180.67,1199,8801
20000,14,17606.0,7281,327.64,2394,17606
40000,14,35323.0,12349,555.71,4677,35323
60000,14,53072.0,15861,713.74,6928,53072
80000,14,70856.0,19626,883.17,9144,70856
10000,14,8801.0,4015,180.67,1199,8801
2,15,2.0,1,0.05,0,2
3,15,2.0,2,0.09,1,2
100,15,90.0,48,2.16,10,90
200,15,178.0,91,4.09,22,178
