Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.7583160888287477,2.0,0.020000000000000014,0.0,2.0
3,2.6668315368434476,2.0,0.020000000000000014,0.0,3.0
100,89.20655031737415,66.68,0.5025,0.0,100.0
200,179.01717420225629,134.11,1.0066999999999997,0.0,200.0
2000,1790.9880017095606,1313.35,9.7591,0.0,2000.0
10000,8958.550073259741,6010.33,44.00340000000003,0.0,10000.0
20000,17926.363730139066,10987.7,78.70630000000001,0.0,20000.0
40000,35875.411344917164,19182.41,133.71180000000004,0.0,40000.0
60000,53832.9750526954,25514.65,175.03139999999996,0.0,60000.0
80000,71796.46279958682,31457.62,212.74730000000002,0.0,80000.0
