Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.6956094929662928,1.0,0.08999999999999991,0.0,2.0
3,2.5436278068616662,1.64,0.1539999999999999,0.0,3.0
100,84.87795061229586,45.66,4.335199999999999,0.0,100.0
200,170.50356147525247,85.12,8.083699999999995,0.0,200.0
2000,1754.056857303359,373.62,35.4913,0.0,2000.0
10000,8891.965116808617,624.6,59.33450000000002,0.0,10000.0
20000,17830.182044680885,723.46,68.7262,0.0,20000.0
40000,35718.7380439569,814.81,77.40439999999998,0.0,40000.0
60000,53611.72598858956,868.8,82.53339999999997,0.0,60000.0
80000,71510.15172634243,907.09,86.17120000000001,0.0,80000.0
