Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.6470430704377925,1,0.0,0,2
3,1,2.561382158964572,2,0.01,0,3
100,1,90.10648211801731,68,0.18,0,100
200,1,176.90919827911097,142,0.37,0,200
2000,1,1789.239725382919,1172,2.91,0,2000
10000,1,8970.248233404503,6328,12.99,0,10000
20000,1,17851.78079899089,12938,24.6,0,20000
40000,1,35722.9510438245,23085,53.41,0,40000
60000,1,53597.41623697266,39016,80.32,0,60000
80000,1,71542.03660516717,57566,91.13,0,80000
10000,1,8970.248233404503,6328,12.99,0,10000
2,2,2.9409780207148395,1,0.0,0,2
3,2,4.193104301425675,2,0.01,0,3
100,2,91.30027441771405,70,0.18,0,100
200,2,182.72274698368255,142,0.35,0,200
2000,2,1774.5138972786829,1166,3.53,0,2000
10000,2,8876.155899870464,6320,12.23,0,10000
20000,2,17820.505187238163,14656,17.81,0,20000
40000,2,35714.19312818408,28807,47.99,0,40000
60000,2,53575.18109090405,40078,71.94,0,60000
80000,2,71521.25494828161,55828,77.49,0,80000
10000,2,8876.155899870464,6320,12.23,0,10000
2,3,1.6480863673210644,1,0.0,0,2
3,3,2.579979726393931,2,0.01,0,3
100,3,89.99542318686214,73,0.22,0,100
200,3,180.91075771580185,149,0.42,0,200
2000,3,1785.116300102612,1525,4.27,0,2000
10000,3,8933.52464340146,7214,20.52,0,10000
20000,3,17858.11601390986,14933,34.78,0,20000
40000,3,35665.83259202403,30687,52.33,0,40000
60000,3,53590.12333218239,37364,66.65,0,60000
80000,3,71472.91649277705,48714,75.86,0,80000
10000,3,8933.52464340146,7214,20.52,0,10000
2,4,1.747635880777552,1,0.0,0,2
3,4,2.508691771616693,2,0.01,0,3
100,4,92.53333315958052,67,0.16,0,100
200,4,182.123030894868,129,0.3,0,200
2000,4,1786.2511483060673,1202,2.54,0,2000
10000,4,8959.629973341625,5607,12.47,0,10000
20000,4,17903.92451159217,10590,28.95,0,20000
40000,4,35822.57139974963,21342,56.78,0,40000
60000,4,53745.70879059871,28788,71.02,0,60000
80000,4,71608.7750918795,41489,107.32,0,80000
10000,4,8959.629973341625,5607,12.47,0,10000
2,5,1.7601856588316314,1,0.0,0,2
3,5,2.5775425945414963,2,0.01,0,3
100,5,78.0609469101385,65,0.19,0,100
200,5,169.08316104569673,129,0.38,0,200
2000,5,1778.780182937258,1193,2.62,0,2000
10000,5,8890.00149847028,5613,8.71,0,10000
20000,5,17839.290581108722,11839,29.95,0,20000
40000,5,35754.807446832754,22361,45.07,0,40000
60000,5,53649.78965004779,31077,49.18,0,60000
80000,5,71550.730264963,44898,79.41,0,80000
10000,5,8890.00149847028,5613,8.71,0,10000
2,6,2.2409002384265846,1,0.0,0,2
3,6,3.0079705835374657,2,0.01,0,3
100,6,89.68590429128179,68,0.15,0,100
200,6,180.9993374799955,134,0.3,0,200
2000,6,1782.1825269684134,1428,3.49,0,2000
10000,6,8912.938221433764,6455,16.16,0,10000
20000,6,17872.578427206758,13488,33.21,0,20000
40000,6,35745.44652267962,27590,49.13,0,40000
60000,6,53651.85785241994,41750,82.77,0,60000
80000,6,71498.57363984037,53023,91.94,0,80000
10000,6,8912.938221433764,6455,16.16,0,10000
2,7,1.361191643878598,1,0.0,0,2
3,7,2.3323864488031507,2,0.01,0,3
100,7,89.8832964420425,65,0.17,0,100
200,7,180.9928320721224,132,0.36,0,200
2000,7,1804.5345825876761,1399,4.03,0,2000
10000,7,8935.45474169811,7161,16.23,0,10000
20000,7,17895.43607002091,14464,35.31,0,20000
40000,7,35678.47255334075,30608,71.18,0,40000
60000,7,53559.32712836684,43955,110.17,0,60000
80000,7,71464.68292238508,60793,139.37,0,80000
10000,7,8935.45474169811,7161,16.23,0,10000
2,8,1.6573021379649602,1,0.0,0,2
3,8,2.909858920522443,2,0.01,0,3
100,8,89.22732773957439,70,0.15,0,100
200,8,177.75831331048047,140,0.33,0,200
2000,8,1781.515014812992,1437,3.42,0,2000
10000,8,8938.39659501352,5258,14.16,0,10000
20000,8,17918.729301323307,11113,18.54,0,20000
40000,8,35807.84780014648,23693,31.1,0,40000
60000,8,53681.66716691182,37062,44.31,0,60000
80000,8,71531.49076743386,47618,54.12,0,80000
10000,8,8938.39659501352,5258,14.16,0,10000
2,9,1.2408173920471643,1,0.0,0,2
3,9,2.093230461926088,2,0.01,0,3
100,9,84.54480992533846,63,0.16,0,100
200,9,172.15156326213625,129,0.32,0,200
2000,9,1781.9772208078164,1372,2.92,0,2000
10000,9,8912.180424012122,7031,8.86,0,10000
20000,9,17878.59372690138,11064,14.83,0,20000
40000,9,35695.78662340991,19582,23.68,0,40000
60000,9,53596.839394157156,29400,26.19,0,60000
80000,9,71426.60966495187,37005,36.18,0,80000
10000,9,8912.180424012122,7031,8.86,0,10000
2,10,1.7869163358835132,1,0.0,0,2
3,10,2.608660186691043,2,0.01,0,3
100,10,85.15184231047176,68,0.16,0,100
200,10,177.5440840014451,129,0.28,0,200
2000,10,1800.8456651296735,1392,2.71,0,2000
10000,10,8932.281444105454,6316,15.26,0,10000
20000,10,17837.285741451236,13632,26.39,0,20000
40000,10,35687.651918688294,29001,51.57,0,40000
60000,10,53533.635266502104,47159,75.04,0,60000
80000,10,71528.50353727113,65534,77.49,0,80000
10000,10,8932.281444105454,6316,15.26,0,10000
2,11,1.459351193330638,1,0.0,0,2
3,11,2.5859829189556285,2,0.01,0,3
100,11,87.25573814068072,66,0.16,0,100
200,11,178.57886398993332,137,0.29,0,200
2000,11,1759.987952604979,1357,2.4,0,2000
10000,11,8896.21476566576,4996,6.7,0,10000
20000,11,17840.119254888596,8172,9.48,0,20000
40000,11,35750.4090669174,16959,15.61,0,40000
60000,11,53706.97156143877,25132,28.71,0,60000
80000,11,71611.91835830826,34832,38.07,0,80000
10000,11,8896.21476566576,4996,6.7,0,10000
2,12,1.8401973549938524,1,0.0,0,2
3,12,2.5685744699166495,2,0.01,0,3
100,12,91.7233586159902,65,0.15,0,100
200,12,183.13367256961607,134,0.34,0,200
2000,12,1782.0072032948985,1201,3.2,0,2000
10000,12,8936.221838788577,6131,11.26,0,10000
20000,12,17896.064614376828,13385,17.69,0,20000
40000,12,35877.6863448974,22184,21.56,0,40000
60000,12,53767.242341120116,31247,36.77,0,60000
80000,12,71679.52918043896,39028,56.72,0,80000
10000,12,8936.221838788577,6131,11.26,0,10000
2,13,1.3072547891219608,1,0.0,0,2
3,13,1.761872712010553,2,0.01,0,3
100,13,93.09245296122707,65,0.16,0,100
200,13,183.8541311336868,132,0.33,0,200
2000,13,1785.456326928935,1397,3.32,0,2000
10000,13,8930.902764678676,7689,17.83,0,10000
20000,13,17930.791295773237,15076,26.37,0,20000
40000,13,35842.08408113798,30024,42.69,0,40000
60000,13,53731.567021251496,41396,60.11,0,60000
80000,13,71572.31391970359,58372,70.46,0,80000
10000,13,8930.902764678676,7689,17.83,0,10000
2,14,1.8674836995216535,1,0.0,0,2
3,14,2.7672068285877613,2,0.01,0,3
100,14,84.73180006841434,69,0.17,0,100
200,14,172.19474986207842,142,0.32,0,200
2000,14,1779.4691271166407,1264,2.89,0,2000
10000,14,8961.19638603785,5811,10.59,0,10000
20000,14,17919.87659851823,12398,30.42,0,20000
40000,14,35672.93286698198,23347,60.67,0,40000
60000,14,53458.38594881947,37384,73.1,0,60000
80000,14,71297.74696293919,50163,89.4,0,80000
10000,14,8961.19638603785,5811,10.59,0,10000
2,15,2.2765721677274033,1,0.0,0,2
3,15,3.2172320656020754,2,0.01,0,3
100,15,88.43798020035588,66,0.15,0,100
200,15,177.82329256745476,133,0.35,0,200
2000,15,1801.3378899848103,1371,3.91,0,2000
10000,15,9018.14457306742,6855,17.59,0,10000
20000,15,17894.494537439536,12960,29.17,0,20000
40000,15,35751.709735419514,23007,44.45,0,40000
60000,15,53702.374119890635,40536,70.98,0,60000
80000,15,71550.50006062153,51573,89.72,0,80000
10000,15,9018.14457306742,6855,17.59,0,10000
2,16,1.3361840893888859,1,0.0,0,2
3,16,2.4564186405904116,2,0.01,0,3
100,16,90.05064173146708,66,0.17,0,100
200,16,178.56196138198845,136,0.35,0,200
2000,16,1769.5165611960701,1233,3.42,0,2000
10000,16,8936.607292791343,6375,16.53,0,10000
20000,16,17945.376791585964,11879,24.75,0,20000
40000,16,35830.67570323627,22011,51.67,0,40000
60000,16,53772.92476946861,32101,87.51,0,60000
80000,16,71661.47343386167,44053,110.36,0,80000
10000,16,8936.607292791343,6375,16.53,0,10000
2,17,1.0832720553912127,1,0.0,0,2
3,17,2.261406946627324,2,0.01,0,3
100,17,90.50322972484959,70,0.18,0,100
200,17,179.05324688271622,143,0.35,0,200
2000,17,1802.9750199764705,1334,3.09,0,2000
10000,17,8974.658625541097,6728,17.93,0,10000
20000,17,17851.38447083532,13850,31.82,0,20000
40000,17,35763.33797648167,27843,46.85,0,40000
60000,17,53604.30820269672,41187,62.47,0,60000
80000,17,71456.13337717259,55925,93.86,0,80000
10000,17,8974.658625541097,6728,17.93,0,10000
2,18,2.153392173710311,1,0.0,0,2
3,18,3.1377885928788714,2,0.01,0,3
