Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.904607187849573,1,0.01,0,2
3,1,2.3732824256469875,1,0.01,0,3
100,1,88.44384721799132,53,0.27,0,100
200,1,174.62215009735033,108,0.54,0,200
2000,1,1816.577280815128,1003,5.01,0,2000
10000,1,9003.008873286262,5259,26.29,0,10000
20000,1,17976.22523052611,9499,47.5,0,20000
40000,1,35898.19770367693,15658,78.29,0,40000
60000,1,53854.81015658791,21930,109.65,0,60000
80000,1,71900.69727521211,25248,126.24,0,80000
10000,1,9003.008873286262,5259,26.29,0,10000
2,2,1.996214154221143,1,0.01,0,2
3,2,2.710712089421533,1,0.01,0,3
100,2,83.72392804012354,53,0.27,0,100
200,2,168.53523907353986,100,0.5,0,200
2000,2,1781.8143628614157,1080,5.4,0,2000
10000,2,9008.487086372967,2938,14.69,0,10000
20000,2,17977.245068193748,5719,28.59,0,20000
40000,2,36006.22407793894,8396,41.98,0,40000
60000,2,53938.601484194565,10714,53.57,0,60000
80000,2,71835.33613793977,17377,86.88,0,80000
10000,2,9008.487086372967,2938,14.69,0,10000
2,3,2.405395457412921,1,0.01,0,2
3,3,3.51965001871747,1,0.01,0,3
100,3,88.92021976494284,50,0.25,0,100
200,3,185.78626114820233,108,0.54,0,200
2000,3,1800.9986626850407,871,4.35,0,2000
10000,3,8906.308782485203,4517,22.58,0,10000
20000,3,17847.25816852403,7904,39.52,0,20000
40000,3,35786.94941502193,10755,53.78,0,40000
60000,3,53734.958813869176,17322,86.61,0,60000
80000,3,71706.87537172271,21709,108.54,0,80000
10000,3,8906.308782485203,4517,22.58,0,10000
2,4,1.394211108636106,1,0.01,0,2
3,4,2.1482841498798053,1,0.01,0,3
100,4,85.9318693650327,47,0.24,0,100
200,4,179.86675805222666,84,0.42,0,200
2000,4,1787.6163463368594,1049,5.24,0,2000
10000,4,9014.14851623076,5339,26.69,0,10000
20000,4,17998.73954005025,10796,53.98,0,20000
40000,4,35996.73160394445,16289,81.44,0,40000
60000,4,53925.25615530433,23804,119.02,0,60000
80000,4,71870.50308357825,28036,140.18,0,80000
10000,4,9014.14851623076,5339,26.69,0,10000
2,5,1.3845824241853437,1,0.01,0,2
3,5,2.3604217697792462,1,0.01,0,3
100,5,86.15620733297025,44,0.22,0,100
200,5,172.63172250731841,96,0.48,0,200
2000,5,1783.8138790842447,886,4.43,0,2000
10000,5,8954.286026118809,3509,17.55,0,10000
20000,5,17988.153115445304,5980,29.9,0,20000
40000,5,35937.71079210859,10149,50.75,0,40000
60000,5,53960.52758006737,15816,79.08,0,60000
80000,5,72002.95574492516,17851,89.25,0,80000
10000,5,8954.286026118809,3509,17.55,0,10000
2,6,2.520269299278741,1,0.01,0,2
3,6,3.0390086725606835,1,0.01,0,3
100,6,93.45424620811443,56,0.28,0,100
200,6,185.38831942174642,112,0.56,0,200
2000,6,1807.5937179301864,881,4.4,0,2000
10000,6,8968.439232070263,4660,23.3,0,10000
20000,6,17898.368237877665,9552,47.76,0,20000
40000,6,35833.65875276624,21017,105.08,0,40000
60000,6,53843.92140044634,21051,105.25,0,60000
80000,6,71804.37133678896,28616,143.08,0,80000
10000,6,8968.439232070263,4660,23.3,0,10000
2,7,1.3473064427892583,1,0.01,0,2
3,7,2.886518623733376,2,0.01,0,3
100,7,94.19418461252715,48,0.24,0,100
200,7,186.12320832896734,102,0.51,0,200
2000,7,1793.7421289632794,829,4.14,0,2000
10000,7,8944.310522839172,4323,21.61,0,10000
20000,7,17934.356986386974,5922,29.61,0,20000
40000,7,35897.44488285714,14370,71.85,0,40000
60000,7,53813.4248646284,21426,107.13,0,60000
80000,7,71714.91118537134,30805,154.02,0,80000
10000,7,8944.310522839172,4323,21.61,0,10000
2,8,1.6522470343476692,1,0.01,0,2
