Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.85,1.0,0.010000000000000007,0.15,1.85
3,2.69,1.95,0.019500000000000014,0.31,2.69
100,89.7,48.18,0.48180000000000006,10.3,89.7
200,179.35,95.63,0.9563000000000001,20.65,179.35
2000,1791.52,924.49,9.2449,208.48,1791.52
10000,8958.56,4136.51,41.36510000000002,1041.44,8958.56
20000,17921.45,7730.23,77.3023,2078.55,17921.45
40000,35851.71,14133.72,141.33720000000005,4148.29,35851.71
60000,53797.92,19560.65,195.60649999999995,6202.08,53797.92
80000,71749.18,24306.63,243.0662999999999,8250.82,71749.18
100000,89703.73,28764.18,287.64180000000005,10296.27,89703.73
200000,179524.98,46830.96,468.30960000000005,20475.02,179524.98
400000,359304.97,71131.67,711.3167000000001,40695.03,359304.97
600000,539094.45,89645.66,896.4566000000003,60905.55,539094.45
800000,718982.36,102938.79,1029.3878999999997,81017.64,718982.36
1000000,898862.9,113874.86,1138.7485999999994,101137.1,898862.9
