Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.83,1.0,0.0,0.17,1.83
3,2.66,2.0,0.0,0.34,2.66
100,89.2,66.39,0.0,10.8,89.2
200,178.58,131.99,0.0,21.42,178.58
2000,1787.99,1327.97,0.0,212.01,1787.99
10000,8948.72,6653.98,0.0,1051.28,8948.72
20000,17898.29,13268.84,0.0,2101.71,17898.29
40000,35796.51,26577.05,0.0,4203.49,35796.51
60000,53699.3,39879.75,0.0,6300.7,53699.3
80000,71598.76,53268.3,0.0,8401.24,71598.76
100000,89499.17,66406.81,0.0,10500.83,89499.17
200000,179007.4,132502.24,0.0,20992.6,179007.4
400000,358007.74,264286.4,0.0,41992.26,358007.74
600000,536972.52,397522.48,0.0,63027.48,536972.52
800000,715975.05,531540.81,0.0,84024.95,715975.05
1000000,894963.18,667245.78,0.0,105036.82,894963.18
