Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.0,1,0.01,1,1
3,1,2.0,2,0.01,1,2
100,1,90.0,59,0.3,10,90
200,1,184.0,117,0.59,16,184
2000,1,1786.0,1108,5.54,214,1786
10000,1,8965.0,4982,24.91,1035,8965
20000,1,17942.0,10349,51.75,2058,17942
40000,1,35943.0,20887,104.43,4057,35943
60000,1,53872.0,29666,148.33,6128,53872
80000,1,71878.0,35000,175.0,8122,71878
100000,1,89831.0,44652,223.26,10169,89831
200000,1,179484.0,77561,387.8,20516,179484
400000,1,359395.0,126165,630.82,40605,359395
600000,1,539379.0,158559,792.79,60621,539379
800000,1,719288.0,180074,900.37,80712,719288
1000000,1,899182.0,210149,1050.74,100818,899182
2,2,1.0,1,0.01,1,1
3,2,2.0,1,0.01,1,2
100,2,88.0,39,0.2,12,88
200,2,177.0,82,0.41,23,177
2000,2,1802.0,862,4.31,198,1802
10000,2,8997.0,5099,25.49,1003,8997
20000,2,18026.0,11929,59.65,1974,18026
40000,2,35936.0,21658,108.29,4064,35936
60000,2,53869.0,29457,147.28,6131,53869
80000,2,71861.0,38329,191.64,8139,71861
100000,2,89875.0,46671,233.35,10125,89875
200000,2,179790.0,83572,417.86,20210,179790
400000,2,359251.0,155201,776.0,40749,359251
600000,2,539124.0,199439,997.19,60876,539124
800000,2,718882.0,245977,1229.89,81118,718882
1000000,2,898897.0,279423,1397.12,101103,898897
2,3,2.0,1,0.01,0,2
3,3,3.0,1,0.01,0,3
100,3,90.0,45,0.23,10,90
200,3,181.0,93,0.47,19,181
2000,3,1813.0,879,4.39,187,1813
10000,3,8998.0,4645,23.22,1002,8998
20000,3,17926.0,9220,46.1,2074,17926
40000,3,35906.0,20727,103.63,4094,35906
60000,3,53838.0,28550,142.75,6162,53838
80000,3,71830.0,37696,188.48,8170,71830
100000,3,89760.0,48594,242.97,10240,89760
200000,3,179585.0,90401,452.0,20415,179585
400000,3,359489.0,135335,676.67,40511,359489
600000,3,539121.0,187805,939.02,60879,539121
800000,3,718699.0,221526,1107.63,81301,718699
1000000,3,898662.0,259859,1299.3,101338,898662
2,4,2.0,1,0.01,0,2
3,4,3.0,1,0.01,0,3
100,4,94.0,50,0.25,6,94
200,4,185.0,106,0.53,15,185
2000,4,1786.0,941,4.7,214,1786
10000,4,8958.0,3859,19.3,1042,8958
20000,4,17980.0,7037,35.18,2020,17980
40000,4,35998.0,14759,73.8,4002,35998
60000,4,53932.0,23211,116.05,6068,53932
80000,4,71886.0,32220,161.1,8114,71886
100000,4,89802.0,40538,202.69,10198,89802
200000,4,179899.0,64126,320.63,20101,179899
400000,4,359631.0,111095,555.47,40369,359631
600000,4,539258.0,149280,746.4,60742,539258
800000,4,719328.0,179942,899.71,80672,719328
1000000,4,899270.0,215042,1075.21,100730,899270
2,5,2.0,1,0.01,0,2
3,5,2.0,1,0.01,1,2
100,5,87.0,44,0.22,13,87
200,5,178.0,94,0.47,22,178
2000,5,1760.0,1054,5.27,240,1760
10000,5,8974.0,4580,22.9,1026,8974
20000,5,17935.0,9084,45.42,2065,17935
40000,5,35900.0,16691,83.45,4100,35900
60000,5,53853.0,25471,127.35,6147,53853
80000,5,71835.0,30379,151.89,8165,71835
100000,5,89766.0,36649,183.24,10234,89766
200000,5,179629.0,69281,346.4,20371,179629
400000,5,359392.0,117099,585.49,40608,359392
600000,5,539206.0,163891,819.45,60794,539206
800000,5,719005.0,191844,959.22,80995,719005
1000000,5,898729.0,222556,1112.78,101271,898729
2,6,2.0,1,0.01,0,2
3,6,3.0,1,0.01,0,3
100,6,86.0,55,0.28,14,86
200,6,177.0,93,0.47,23,177
2000,6,1797.0,862,4.31,203,1797
10000,6,8995.0,4653,23.26,1005,8995
20000,6,18011.0,8903,44.52,1989,18011
40000,6,36027.0,16023,80.11,3973,36027
60000,6,53990.0,23524,117.62,6010,53990
80000,6,71960.0,32320,161.6,8040,71960
100000,6,89930.0,36764,183.82,10070,89930
200000,6,179595.0,76540,382.7,20405,179595
400000,6,359444.0,119720,598.6,40556,359444
600000,6,539264.0,156166,780.83,60736,539264
800000,6,719155.0,184143,920.71,80845,719155
