Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.01,0,2
3,1,3.0,2,0.06,0,3
100,1,86.0,61,1.07,14,86
200,1,173.0,122,2.68,27,173
2000,1,1789.0,1288,23.09,211,1789
10000,1,8857.0,5469,77.2,1143,8857
20000,1,17790.0,10734,130.71,2210,17790
40000,1,35714.0,20716,203.97,4286,35714
60000,1,53635.0,29706,290.77,6365,53635
80000,1,71584.0,37552,357.81,8416,71584
100000,1,89554.0,45153,412.47,10446,89554
200000,1,179217.0,81493,668.19,20783,179217
400000,1,358810.0,159638,1091.64,41190,358810
600000,1,538530.0,206182,1381.15,61470,538530
800000,1,718342.0,247661,1607.49,81658,718342
1000000,1,898226.0,273363,1768.13,101774,898226
2,2,2.0,1,0.01,0,2
3,2,3.0,2,0.06,0,3
100,2,86.0,85,2.09,14,86
200,2,168.0,141,3.36,32,168
2000,2,1785.0,1195,24.33,215,1785
10000,2,8887.0,5604,91.92,1113,8887
20000,2,17859.0,9438,154.38,2141,17859
40000,2,35779.0,17498,218.62,4221,35779
60000,2,53701.0,29978,306.17,6299,53701
80000,2,71617.0,36115,348.42,8383,71617
100000,2,89569.0,42598,391.68,10431,89569
200000,2,179540.0,69170,602.62,20460,179540
400000,2,359154.0,114664,867.48,40846,359154
600000,2,539097.0,145680,1040.29,60903,539097
800000,2,719130.0,173104,1227.73,80870,719130
1000000,2,899180.0,198737,1360.62,100820,899180
2,3,2.0,1,0.01,0,2
3,3,3.0,2,0.06,0,3
100,3,82.0,57,1.41,18,82
200,3,176.0,137,3.47,24,176
2000,3,1766.0,1266,31.08,234,1766
10000,3,8931.0,5136,77.29,1069,8931
20000,3,17891.0,9258,116.35,2109,17891
40000,3,35824.0,16321,169.04,4176,35824
60000,3,53686.0,23817,231.76,6314,53686
80000,3,71581.0,30311,287.18,8419,71581
100000,3,89599.0,36160,320.7,10401,89599
200000,3,179267.0,65600,591.61,20733,179267
400000,3,358858.0,117603,943.65,41142,358858
600000,3,538295.0,161884,1191.43,61705,538295
800000,3,718006.0,203819,1419.15,81994,718006
1000000,3,897951.0,223079,1517.74,102049,897951
2,4,2.0,1,0.01,0,2
3,4,2.0,2,0.06,1,2
100,4,88.0,60,1.83,12,88
200,4,170.0,111,2.94,30,170
2000,4,1768.0,1146,23.78,232,1768
10000,4,8869.0,4728,82.05,1131,8869
20000,4,17770.0,9261,154.26,2230,17770
40000,4,35719.0,16704,222.48,4281,35719
60000,4,53617.0,26209,302.27,6383,53617
80000,4,71573.0,32625,346.09,8427,71573
100000,4,89516.0,42593,401.74,10484,89516
200000,4,179334.0,63727,538.73,20666,179334
400000,4,358934.0,114346,834.44,41066,358934
600000,4,538721.0,159711,1094.03,61279,538721
800000,4,718750.0,180056,1198.77,81250,718750
1000000,4,898584.0,216785,1390.51,101416,898584
2,5,2.0,1,0.01,0,2
3,5,3.0,2,0.06,0,3
100,5,92.0,68,1.74,8,92
200,5,179.0,138,3.57,21,179
2000,5,1784.0,1009,21.29,216,1784
10000,5,8904.0,5014,93.47,1096,8904
20000,5,17839.0,9960,142.32,2161,17839
40000,5,35748.0,21482,239.21,4252,35748
60000,5,53636.0,31967,323.14,6364,53636
80000,5,71591.0,40459,374.24,8409,71591
100000,5,89485.0,48212,430.87,10515,89485
200000,5,179272.0,78871,655.53,20728,179272
400000,5,359028.0,134798,1001.99,40972,359028
600000,5,538658.0,182302,1261.3,61342,538658
800000,5,718664.0,205072,1385.18,81336,718664
1000000,5,898605.0,235403,1547.28,101395,898605
2,6,2.0,1,0.01,0,2
3,6,2.0,2,0.06,1,2
100,6,89.0,58,1.55,11,89
200,6,177.0,114,2.82,23,177
2000,6,1767.0,1137,25.49,233,1767
10000,6,8927.0,5435,78.25,1073,8927
20000,6,17871.0,10834,132.24,2129,17871
40000,6,35842.0,19814,199.82,4158,35842
60000,6,53746.0,28995,268.0,6254,53746
80000,6,71624.0,37116,322.65,8376,71624
100000,6,89683.0,41647,351.02,10317,89683
200000,6,179406.0,69980,574.99,20594,179406
400000,6,359124.0,119069,880.42,40876,359124
600000,6,538876.0,179686,1199.62,61124,538876
800000,6,718688.0,218797,1433.11,81312,718688
1000000,6,898685.0,235784,1531.68,101315,898685
2,7,2.0,1,0.01,0,2
3,7,3.0,2,0.06,0,3
100,7,89.0,75,1.77,11,89
