Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.76,1.0,0.0,0.24,1.76
3,2.59,1.16,0.0,0.41,2.59
100,84.96,49.99,0.0,15.04,84.96
200,169.69,99.31,0.0,30.31,169.69
2000,1700.82,987.58,0.0,299.18,1700.82
10000,8506.73,4911.9,0.0,1493.27,8506.73
20000,17006.06,9691.25,0.0,2993.94,17006.06
40000,34008.38,19355.63,0.0,5991.62,34008.38
60000,50996.29,29282.9,0.0,9003.71,50996.29
80000,67998.82,39296.35,0.0,12001.18,67998.82
100000,84994.69,49256.13,0.0,15005.31,84994.69
200000,169992.21,100502.3,0.0,30007.79,169992.21
400000,339984.07,195029.02,0.0,60015.93,339984.07
600000,509988.69,295931.07,0.0,90011.31,509988.69
800000,680008.39,398890.61,0.0,119991.61,680008.39
1000000,850029.56,495310.98,0.0,149970.44,850029.56
