Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.73,2.0,0.049999999999999906,0.27,1.73
3,2.59,2.0,0.049999999999999906,0.41,2.59
100,87.8,66.73,1.657600000000001,12.2,87.8
200,175.45,132.1,3.2429000000000014,24.55,175.45
2000,1764.17,1234.3,26.201199999999986,235.83,1764.17
10000,8866.41,5329.94,82.4187,1133.59,8866.41
20000,17776.04,9473.4,121.7176,2223.96,17776.04
40000,35619.78,16256.88,172.54750000000007,4380.22,35619.78
60000,53485.13,21464.55,205.81119999999999,6514.87,53485.13
80000,71355.81,26036.2,234.4293,8644.19,71355.81
100000,89229.48,30014.45,258.2932,10770.52,89229.48
200000,178649.92,45160.27,342.80789999999996,21350.08,178649.92
400000,357562.8,62583.9,436.3898999999999,42437.2,357562.8
600000,536502.07,73492.44,493.8381999999998,63497.93,536502.07
800000,715455.99,81013.85,533.3869,84544.01,715455.99
1000000,894426.6,88456.4,571.7516,105573.4,894426.6
