Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.05,0,2
3,1,2.0,2,0.1,1,2
100,1,85.0,66,3.3,15,85
200,1,176.0,133,6.65,24,176
2000,1,1750.0,1121,56.05,250,1750
10000,1,8855.0,2963,148.15,1145,8855
20000,1,17787.0,3730,186.5,2213,17787
40000,1,35715.0,4467,223.35,4285,35715
60000,1,53709.0,4745,237.25,6291,53709
80000,1,71710.0,4853,242.65,8290,71710
100000,1,89661.0,4965,248.25,10339,89661
200000,1,179704.0,5070,253.5,20296,179704
400000,1,359646.0,5226,261.3,40354,359646
600000,1,539708.0,5241,262.05,60292,539708
800000,1,719548.0,5251,262.55,80452,719548
1000000,1,899482.0,5346,267.3,100518,899482
2,2,2.0,1,0.05,0,2
3,2,3.0,2,0.1,0,3
100,2,87.0,67,3.35,13,87
200,2,180.0,133,6.65,20,180
2000,2,1748.0,1129,56.45,252,1748
10000,2,8822.0,3856,192.8,1178,8822
20000,2,17774.0,4790,239.5,2226,17774
40000,2,35736.0,5420,271.0,4264,35736
60000,2,53633.0,5884,294.2,6367,53633
80000,2,71696.0,5893,294.65,8304,71696
100000,2,89727.0,5896,294.8,10273,89727
200000,2,179712.0,6234,311.7,20288,179712
400000,2,359899.0,6300,315.0,40101,359899
600000,2,539868.0,6316,315.8,60132,539868
800000,2,719743.0,6370,318.5,80257,719743
1000000,2,899854.0,6374,318.7,100146,899854
2,3,2.0,1,0.05,0,2
3,3,3.0,2,0.1,0,3
100,3,87.0,67,3.35,13,87
200,3,172.0,131,6.55,28,172
2000,3,1728.0,1128,56.4,272,1728
10000,3,8827.0,3281,164.05,1173,8827
20000,3,17758.0,3961,198.05,2242,17758
40000,3,35699.0,4538,226.9,4301,35699
60000,3,53608.0,4749,237.45,6392,53608
80000,3,71582.0,5027,251.35,8418,71582
100000,3,89558.0,5059,252.95,10442,89558
200000,3,179411.0,5151,257.55,20589,179411
400000,3,359451.0,5154,257.7,40549,359451
600000,3,539530.0,5176,258.8,60470,539530
800000,3,719310.0,5222,261.1,80690,719310
1000000,3,899077.0,5237,261.85,100923,899077
2,4,2.0,1,0.05,0,2
3,4,3.0,2,0.1,0,3
100,4,84.0,66,3.3,16,84
200,4,169.0,131,6.55,31,169
2000,4,1733.0,1185,59.25,267,1733
10000,4,8822.0,3462,173.1,1178,8822
20000,4,17792.0,3903,195.15,2208,17792
40000,4,35773.0,4708,235.4,4227,35773
60000,4,53780.0,4868,243.4,6220,53780
80000,4,71753.0,5247,262.35,8247,71753
100000,4,89711.0,5331,266.55,10289,89711
200000,4,179583.0,5755,287.75,20417,179583
400000,4,359531.0,6127,306.35,40469,359531
600000,4,539696.0,6159,307.95,60304,539696
800000,4,719847.0,6162,308.1,80153,719847
1000000,4,899680.0,6169,308.45,100320,899680
2,5,2.0,1,0.05,0,2
3,5,3.0,2,0.1,0,3
100,5,87.0,67,3.35,13,87
200,5,165.0,131,6.55,35,165
2000,5,1729.0,1153,57.65,271,1729
10000,5,8848.0,3358,167.9,1152,8848
20000,5,17868.0,3749,187.45,2132,17868
40000,5,35828.0,4468,223.4,4172,35828
60000,5,53868.0,4937,246.85,6132,53868
80000,5,71895.0,4987,249.35,8105,71895
100000,5,89896.0,5041,252.05,10104,89896
200000,5,179973.0,5266,263.3,20027,179973
400000,5,360145.0,5650,282.5,39855,360145
600000,5,540357.0,5680,284.0,59643,540357
800000,5,720150.0,5773,288.65,79850,720150
1000000,5,900239.0,5846,292.3,99761,900239
2,6,1.0,1,0.05,1,1
3,6,2.0,2,0.1,1,2
100,6,89.0,67,3.35,11,89
200,6,175.0,134,6.7,25,175
2000,6,1709.0,1096,54.8,291,1709
10000,6,8849.0,2967,148.35,1151,8849
20000,6,17822.0,3577,178.85,2178,17822
40000,6,35791.0,4089,204.45,4209,35791
60000,6,53749.0,4488,224.4,6251,53749
80000,6,71711.0,4695,234.75,8289,71711
100000,6,89804.0,4695,234.75,10196,89804
200000,6,179608.0,5031,251.55,20392,179608
