Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.05,0,2
3,1,3.0,1,0.05,0,3
100,1,85.0,50,2.5,15,85
200,1,175.0,97,4.85,25,175
2000,1,1761.0,637,31.85,239,1761
10000,1,8895.0,1579,78.95,1105,8895
20000,1,17859.0,1741,87.05,2141,17859
40000,1,35810.0,1873,93.65,4190,35810
60000,1,53873.0,1921,96.05,6127,53873
80000,1,71886.0,1921,96.05,8114,71886
100000,1,89855.0,1974,98.7,10145,89855
200000,1,179895.0,2019,100.95,20105,179895
400000,1,359601.0,2359,117.95,40399,359601
600000,1,539771.0,2359,117.95,60229,539771
800000,1,719772.0,2361,118.05,80228,719772
1000000,1,899607.0,2458,122.9,100393,899607
2,2,1.0,1,0.05,1,1
3,2,2.0,1,0.05,1,2
100,2,84.0,49,2.45,16,84
200,2,174.0,96,4.8,26,174
2000,2,1751.0,654,32.7,249,1751
10000,2,8928.0,1481,74.05,1072,8928
20000,2,17930.0,1688,84.4,2070,17930
40000,2,35889.0,1960,98.0,4111,35889
60000,2,53880.0,2118,105.9,6120,53880
80000,2,71852.0,2169,108.45,8148,71852
100000,2,89909.0,2175,108.75,10091,89909
200000,2,179892.0,2554,127.7,20108,179892
400000,2,359882.0,2594,129.7,40118,359882
600000,2,539774.0,2612,130.6,60226,539774
800000,2,720022.0,2616,130.8,79978,720022
1000000,2,900011.0,2790,139.5,99989,900011
2,3,1.0,1,0.05,1,1
3,3,2.0,1,0.05,1,2
100,3,89.0,49,2.45,11,89
200,3,177.0,97,4.85,23,177
2000,3,1737.0,866,43.3,263,1737
10000,3,8893.0,1375,68.75,1107,8893
20000,3,17874.0,1675,83.75,2126,17874
40000,3,35817.0,1902,95.1,4183,35817
60000,3,53880.0,1918,95.9,6120,53880
80000,3,71867.0,1931,96.55,8133,71867
100000,3,89865.0,1944,97.2,10135,89865
200000,3,179744.0,2169,108.45,20256,179744
400000,3,359713.0,2186,109.3,40287,359713
600000,3,539731.0,2187,109.35,60269,539731
800000,3,719809.0,2191,109.55,80191,719809
1000000,3,899742.0,2199,109.95,100258,899742
2,4,2.0,1,0.05,0,2
