Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.5729032258064517,1.1935483870967742,0.15032258064516038,0.4270967741935484,1.5729032258064517
3,2.358709677419355,1.8387096774193548,0.22467741935483745,0.6412903225806451,2.358709677419355
100,78.68290322580646,61.25806451612903,7.483870967741818,21.317096774193548,78.68290322580646
200,157.3601612903226,122.54838709677419,14.967741935483897,42.63983870967742,157.3601612903226
2000,1573.268064516129,1225.774193548387,149.6774193548409,426.731935483871,1573.268064516129
10000,8404.239677419355,2791.001451612903,209.0090241935484,1595.7603225806452,8404.239677419355
20000,17010.99193548387,4180.294838709678,215.0203129032258,2989.0080645161293,17010.99193548387
40000,34225.99806451613,6860.331451612903,226.17051612903236,5774.001935483871,34225.99806451613
60000,51441.31338709677,9497.606129032258,236.97805483870985,8558.686612903226,51441.31338709677
80000,68655.94467741935,12108.175322580646,247.63642741935502,11344.055322580645,68655.94467741935
100000,85870.72177419355,14709.07935483871,258.2304612903228,14129.27822580645,85870.72177419355
200000,171944.3079032258,27648.919677419355,310.64608870967743,28055.692096774193,171944.3079032258
400000,344098.479516129,53473.179193548385,415.06008064516107,55901.52048387097,344098.479516129
600000,516253.2001612903,79279.91983870968,519.4153016129031,83746.79983870967,516253.2001612903
800000,688405.2417741936,105085.96967741936,623.7701677419356,111594.75822580645,688405.2417741936
1000000,860557.2483870968,130892.37322580646,728.1250064516133,139442.75161290323,860557.2483870968
