Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,0,0.0,0,2
3,1,3.0,0,0.0,0,3
100,1,85.0,0,0.0,15,85
200,1,176.0,7,1.1,24,176
2000,1,1785.0,67,9.7,215,1785
10000,1,8939.0,341,50.4,1061,8939
20000,1,17875.0,640,93.8,2125,17875
40000,1,35782.0,1313,194.8,4218,35782
60000,1,53684.0,1977,295.3,6316,53684
80000,1,71599.0,2692,402.9,8401,71599
100000,1,89415.0,3349,500.1,10585,89415
200000,1,179019.0,6776,1019.3,20981,179019
400000,1,358128.0,13261,1986.9,41872,358128
600000,1,537207.0,19851,2981.9,62793,537207
800000,1,716136.0,26631,4005.8,83864,716136
1000000,1,895054.0,33311,5007.0,104946,895054
2,2,2.0,0,0.0,0,2
3,2,3.0,0,0.0,0,3
100,2,90.0,9,1.3,10,90
200,2,180.0,11,1.5,20,180
2000,2,1788.0,71,10.3,212,1788
10000,2,8965.0,324,48.0,1035,8965
20000,2,17943.0,669,98.4,2057,17943
40000,2,35806.0,1326,195.2,4194,35806
60000,2,53708.0,1986,293.7,6292,53708
80000,2,71616.0,2671,393.8,8384,71616
100000,2,89528.0,3343,496.9,10472,89528
200000,2,178918.0,6637,989.5,21082,178918
400000,2,357883.0,13250,1979.4,42117,357883
600000,2,537033.0,19931,2980.8,62967,537033
800000,2,716005.0,26654,3991.4,83995,716005
1000000,2,895164.0,33294,4993.6,104836,895164
2,3,2.0,0,0.0,0,2
3,3,3.0,0,0.0,0,3
100,3,88.0,12,1.8,12,88
200,3,177.0,16,2.5,23,177
2000,3,1784.0,76,11.5,216,1784
10000,3,8952.0,344,51.8,1048,8952
20000,3,17891.0,694,103.9,2109,17891
40000,3,35791.0,1347,201.8,4209,35791
60000,3,53685.0,2023,303.4,6315,53685
80000,3,71517.0,2692,403.7,8483,71517
100000,3,89430.0,3373,505.4,10570,89430
200000,3,178916.0,6759,1016.3,21084,178916
400000,3,357699.0,13432,2018.4,42301,357699
600000,3,536641.0,19972,2997.3,63359,536641
800000,3,715416.0,26565,3989.6,84584,715416
1000000,3,894375.0,33154,4983.6,105625,894375
2,4,2.0,0,0.0,0,2
3,4,3.0,0,0.0,0,3
100,4,90.0,0,0.0,10,90
200,4,174.0,6,1.1,26,174
2000,4,1793.0,65,9.5,207,1793
10000,4,8908.0,321,47.4,1092,8908
20000,4,17815.0,658,98.8,2185,17815
40000,4,35719.0,1273,191.7,4281,35719
60000,4,53651.0,1908,287.3,6349,53651
80000,4,71560.0,2557,383.5,8440,71560
100000,4,89461.0,3218,482.6,10539,89461
200000,4,178664.0,6648,999.2,21336,178664
400000,4,357693.0,13212,1984.7,42307,357693
600000,4,536789.0,19827,2977.1,63211,536789
800000,4,715662.0,26511,3982.5,84338,715662
1000000,4,894601.0,33256,4991.0,105399,894601
2,5,2.0,0,0.0,0,2
3,5,3.0,0,0.0,0,3
100,5,93.0,7,1.4,7,93
200,5,181.0,33,6.6,19,181
2000,5,1791.0,99,15.7,209,1791
10000,5,8988.0,400,61.4,1012,8988
20000,5,17967.0,740,112.3,2033,17967
40000,5,35823.0,1439,216.0,4177,35823
60000,5,53679.0,2095,314.4,6321,53679
80000,5,71541.0,2709,407.9,8459,71541
100000,5,89406.0,3323,501.0,10594,89406
200000,5,178882.0,6791,1019.1,21118,178882
400000,5,358038.0,13483,2026.7,41962,358038
600000,5,537333.0,20087,3020.5,62667,537333
800000,5,716287.0,26701,4011.6,83713,716287
1000000,5,895106.0,33364,5003.8,104894,895106
2,6,2.0,0,0.0,0,2
3,6,3.0,0,0.0,0,3
100,6,94.0,6,0.7,6,94
200,6,178.0,10,1.3,22,178
2000,6,1795.0,61,8.8,205,1795
10000,6,8987.0,328,47.7,1013,8987
