Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.73,1.0,0.0,0.27,1.73
3,2.65,1.1,0.0,0.35,2.65
100,85.0,50.06,0.0,15.0,85.0
200,169.63,100.33,0.0,30.37,169.63
2000,1698.3,983.28,0.0,301.7,1698.3
10000,8502.12,4887.62,0.0,1497.88,8502.12
20000,17000.94,9519.28,0.0,2999.06,17000.94
40000,34002.66,18951.41,0.0,5997.34,34002.66
60000,50995.1,28619.77,0.0,9004.9,50995.1
80000,68008.11,37718.06,0.0,11991.89,68008.11
100000,85008.89,47139.73,0.0,14991.11,85008.89
200000,169990.56,97115.43,0.0,30009.44,169990.56
400000,339978.1,193704.87,0.0,60021.9,339978.1
600000,509985.23,293416.94,0.0,90014.77,509985.23
800000,679969.68,389381.16,0.0,120030.32,679969.68
1000000,850004.58,492308.31,0.0,149995.42,850004.58
