Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.75,1.0,0.010000000000000007,0.25,1.75
3,2.57,2.0,0.049999999999999906,0.43,2.57
100,87.59,66.37,1.629900000000001,12.41,87.59
200,175.88,131.75,3.1896000000000004,24.12,175.88
2000,1765.83,1191.79,23.94870000000001,234.17,1765.83
10000,8879.97,5023.32,70.98020000000002,1120.03,8879.97
20000,17796.14,8794.42,104.70219999999999,2203.86,17796.14
40000,35650.5,14579.99,147.25760000000005,4349.5,35650.5
60000,53519.49,19827.65,181.31879999999992,6480.51,53519.49
80000,71385.25,24584.28,210.03609999999998,8614.75,71385.25
100000,89267.76,28244.14,231.90810000000002,10732.24,89267.76
200000,178695.13,41782.31,311.57630000000006,21304.87,178695.13
400000,357586.77,57998.81,403.23339999999985,42413.23,357586.77
600000,536532.34,67066.13,453.1789999999999,63467.66,536532.34
800000,715512.3,72866.58,485.61330000000015,84487.7,715512.3
1000000,894485.42,77228.87,510.4559000000001,105514.58,894485.42
