Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,1.0,2,0.13,1,1
3,1,2.0,2,0.13,1,2
100,1,86.0,65,4.3,14,86
200,1,166.0,129,8.56,34,166
2000,1,1721.0,981,60.49,279,1721
10000,1,8805.0,1944,112.71,1195,8805
20000,1,17662.0,2544,146.01,2338,17662
40000,1,35445.0,2815,162.45,4555,35445
60000,1,53180.0,3095,184.5,6820,53180
80000,1,70961.0,3163,188.12,9039,70961
100000,1,88745.0,3304,195.66,11255,88745
200000,1,177676.0,3538,208.17,22324,177676
400000,1,355605.0,3998,232.22,44395,355605
600000,1,533310.0,4188,240.82,66690,533310
800000,1,711073.0,4431,253.64,88927,711073
1000000,1,889090.0,4479,256.06,110910,889090
2,2,2.0,2,0.13,0,2
3,2,3.0,2,0.13,0,3
100,2,88.0,67,4.33,12,88
200,2,176.0,133,8.42,24,176
2000,2,1744.0,945,55.4,256,1744
10000,2,8787.0,2272,123.08,1213,8787
20000,2,17719.0,2476,133.14,2281,17719
40000,2,35474.0,2634,142.36,4526,35474
60000,2,53238.0,2951,160.94,6762,53238
80000,2,71045.0,3152,173.73,8955,71045
100000,2,88774.0,3545,190.4,11226,88774
200000,2,177727.0,3738,200.87,22273,177727
400000,2,355878.0,3860,207.3,44122,355878
600000,2,533866.0,4002,216.43,66134,533866
800000,2,711740.0,4372,236.28,88260,711740
1000000,2,889652.0,4413,238.97,110348,889652
2,3,1.0,2,0.13,1,1
3,3,2.0,2,0.13,1,2
100,3,85.0,64,4.11,15,85
200,3,174.0,125,7.8,26,174
2000,3,1745.0,740,43.65,255,1745
10000,3,8758.0,2045,107.25,1242,8758
20000,3,17681.0,2423,130.47,2319,17681
40000,3,35553.0,2883,156.02,4447,35553
60000,3,53380.0,3126,171.69,6620,53380
80000,3,71126.0,3702,200.73,8874,71126
100000,3,88897.0,3836,207.34,11103,88897
200000,3,177904.0,4222,228.93,22096,177904
400000,3,355822.0,4573,244.22,44178,355822
600000,3,533846.0,4689,250.56,66154,533846
800000,3,711678.0,4866,258.19,88322,711678
1000000,3,889640.0,4897,259.93,110360,889640
2,4,2.0,2,0.13,0,2
3,4,3.0,2,0.13,0,3
100,4,82.0,66,4.24,18,82
200,4,167.0,129,8.31,33,167
2000,4,1713.0,999,55.76,287,1713
10000,4,8723.0,2613,141.27,1277,8723
20000,4,17566.0,2956,160.14,2434,17566
40000,4,35319.0,3248,176.82,4681,35319
60000,4,53110.0,3326,181.34,6890,53110
80000,4,70920.0,3578,192.62,9080,70920
100000,4,88626.0,3647,196.23,11374,88626
200000,4,177493.0,3907,209.43,22507,177493
400000,4,355515.0,4161,221.84,44485,355515
600000,4,533597.0,4316,229.84,66403,533597
800000,4,711610.0,4578,240.92,88390,711610
1000000,4,889813.0,4597,241.78,110187,889813
2,5,2.0,2,0.13,0,2
3,5,3.0,2,0.13,0,3
100,5,86.0,65,4.15,14,86
200,5,171.0,119,7.16,29,171
2000,5,1693.0,951,54.99,307,1693
10000,5,8736.0,2164,121.56,1264,8736
