Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.05,0,2
3,1,3.0,1,0.05,0,3
100,1,84.0,50,2.5,16,84
200,1,168.0,97,4.85,32,168
2000,1,1745.0,692,34.6,255,1745
10000,1,8908.0,1208,60.4,1092,8908
20000,1,17884.0,1422,71.1,2116,17884
40000,1,35921.0,1489,74.45,4079,35921
60000,1,53914.0,1673,83.65,6086,53914
80000,1,71937.0,1863,93.15,8063,71937
100000,1,89924.0,2136,106.8,10076,89924
200000,1,179983.0,2274,113.7,20017,179983
400000,1,360113.0,2565,128.25,39887,360113
600000,1,540001.0,2718,135.9,59999,540001
800000,1,719781.0,2764,138.2,80219,719781
1000000,1,899711.0,2848,142.4,100289,899711
2,2,2.0,1,0.05,0,2
3,2,2.0,1,0.05,1,2
100,2,90.0,49,2.45,10,90
200,2,180.0,96,4.8,20,180
2000,2,1777.0,513,25.65,223,1777
10000,2,8934.0,1204,60.2,1066,8934
20000,2,17882.0,1599,79.95,2118,17882
40000,2,35745.0,1839,91.95,4255,35745
60000,2,53753.0,1850,92.5,6247,53753
80000,2,71731.0,1876,93.8,8269,71731
100000,2,89729.0,1889,94.45,10271,89729
200000,2,179647.0,1980,99.0,20353,179647
400000,2,359566.0,2539,126.95,40434,359566
600000,2,539626.0,2565,128.25,60374,539626
800000,2,719630.0,2649,132.45,80370,719630
1000000,2,899678.0,2800,140.0,100322,899678
2,3,2.0,1,0.05,0,2
3,3,3.0,1,0.05,0,3
100,3,86.0,47,2.35,14,86
200,3,174.0,97,4.85,26,174
2000,3,1783.0,725,36.25,217,1783
10000,3,8915.0,1849,92.45,1085,8915
20000,3,17923.0,2177,108.85,2077,17923
40000,3,35938.0,2229,111.45,4062,35938
60000,3,53928.0,2380,119.0,6072,53928
80000,3,71926.0,2481,124.05,8074,71926
100000,3,89936.0,2693,134.65,10064,89936
200000,3,180038.0,2861,143.05,19962,180038
400000,3,360008.0,2953,147.65,39992,360008
600000,3,540116.0,2980,149.0,59884,540116
800000,3,720240.0,2988,149.4,79760,720240
1000000,3,900407.0,3001,150.05,99593,900407
2,4,2.0,1,0.05,0,2
