Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.015,1.935,0.009850000000000008,0.985,1.015
3,1.525,2.89,0.01915000000000001,1.475,1.525
100,49.695,81.025,0.4079499999999998,50.305,49.695
200,99.64,153.11,0.7682999999999995,100.36,99.64
2000,996.9,1279.89,6.402199999999999,1003.1,996.9
10000,4973.41,5641.29,28.208750000000006,5026.59,4973.41
20000,9944.39,10595.015,52.97775000000001,10055.61,9944.39
40000,19897.815,18976.49,94.88494999999998,20102.185,19897.815
60000,29858.365,26370.005,131.85264999999995,30141.635,29858.365
80000,39823.645,33245.225,166.2288,40176.355,39823.645
100000,49789.74,39364.84,196.82680000000005,50210.26,49789.74
