Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.7325,1.015,0.053400000000000315,0.2675,1.7325
3,2.63,1.505,0.08000000000000007,0.37,2.63
100,88.3,42.3325,1.97455,11.7,88.3
200,176.9725,75.8125,3.18855,23.0275,176.9725
2000,1790.07,528.0625,10.833175000000015,209.93,1790.07
10000,8972.475,2155.89,28.508899999999986,1027.525,8972.475
20000,17950.2775,4000.47,49.574550000000016,2049.7225,17950.2775
40000,35911.0675,7052.1775,88.52132500000003,4088.9325,35911.0675
60000,53873.995,9477.1125,124.4728,6126.005,53873.995
80000,71839.88,11566.4875,158.64102499999987,8160.12,71839.88
100000,89807.3025,13456.6775,191.78975000000025,10192.6975,89807.3025
