Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.69,1.0,0.09999999999999981,0.31,1.69
3,2.6,1.07,0.1069999999999998,0.4,2.6
100,86.49,30.27,3.0269999999999997,13.51,86.49
200,173.19,59.27,5.927000000000001,26.81,173.19
2000,1741.78,581.27,58.12699999999998,258.22,1741.78
10000,8706.56,2901.27,290.12700000000007,1293.44,8706.56
20000,17413.26,5801.27,580.1269999999997,2586.74,17413.26
40000,34829.82,11601.27,1160.1269999999997,5170.18,34829.82
60000,52249.14,17401.27,1740.1270000000004,7750.86,52249.14
80000,69668.17,23201.27,2320.1270000000013,10331.83,69668.17
100000,87086.43,29001.27,2900.127000000001,12913.57,87086.43
