Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.485,1.0,0.04000000000000106,0.515,1.485
3,2.24,1.4783333333333333,0.05383333333333411,0.76,2.24
100,75.685,40.12833333333333,0.9345833333333324,24.315,75.685
200,151.79333333333332,76.31166666666667,1.5063833333333332,48.20666666666666,151.79333333333332
2000,1525.775,654.7266666666667,6.957133333333342,474.225,1525.775
10000,7647.835,2785.8483333333334,19.4938,2352.165,7647.835
20000,15303.35,4876.593333333333,30.93225000000002,4696.65,15303.35
40000,30624.641666666666,8385.023333333333,49.24418333333328,9375.358333333334,30624.641666666666
60000,45944.541666666664,11184.255,63.56728333333325,14055.458333333334,45944.541666666664
80000,61268.941666666666,13712.868333333334,76.53936666666665,18731.058333333334,61268.941666666666
100000,76592.31,15768.396666666667,86.99471666666659,23407.69,76592.31
