Timestep,Average Total Reward,Average Suboptimal Arms,Average Regret,Average Zeros Count,Average Ones Count
2,1.7133333333333334,1.0,0.07000000000000056,0.2866666666666667,1.7133333333333334
3,2.58,1.3166666666666667,0.09966666666666699,0.42,2.58
100,86.58,46.95666666666666,3.127866666666668,13.42,86.58
200,174.18,88.96,5.779966666666671,25.82,174.18
2000,1772.3133333333333,569.7566666666667,26.601099999999967,227.68666666666667,1772.3133333333333
10000,8951.706666666667,1790.24,47.26113333333334,1048.2933333333333,8951.706666666667
20000,17937.796666666665,2955.4266666666667,58.30143333333332,2062.2033333333334,17937.796666666665
40000,35922.96,4840.45,72.60996666666675,4077.04,35922.96
60000,53908.903333333335,6414.443333333334,83.20543333333332,6091.096666666666,53908.903333333335
80000,71901.48333333334,7662.036666666667,91.5790333333333,8098.516666666666,71901.48333333334
100000,89899.5,8562.03,97.47073333333336,10100.5,89899.5
